dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
books_200M_uint64,linear_spline,linear_spline,64,13644.7,7580,16668.4,0,73402
books_200M_uint64,linear_spline,linear_spline,128,3689.51,1795,4925.67,0,37214
books_200M_uint64,linear_spline,linear_spline,256,1286.62,601,1677.61,0,12228
books_200M_uint64,linear_spline,linear_spline,512,637.46,334,784.822,0,6477
books_200M_uint64,linear_spline,linear_spline,1024,364.686,217,413.488,0,3772
books_200M_uint64,linear_spline,linear_spline,2048,225.6,137,248.161,0,2255
books_200M_uint64,linear_spline,linear_spline,4096,161.022,97,176.562,0,1659
books_200M_uint64,linear_spline,linear_spline,8192,116.763,71,126.774,0,1269
books_200M_uint64,linear_spline,linear_spline,16384,82.1164,50,89.3767,0,892
books_200M_uint64,linear_spline,linear_spline,32768,57.7124,35,62.4189,0,679
books_200M_uint64,linear_spline,linear_spline,65536,40.6855,25,43.9736,0,471
books_200M_uint64,linear_spline,linear_spline,131072,28.7769,18,30.9078,0,345
books_200M_uint64,linear_spline,linear_spline,262144,20.2376,13,21.5832,0,246
books_200M_uint64,linear_spline,linear_spline,524288,14.094,9,14.8155,0,244
books_200M_uint64,linear_spline,linear_spline,1048576,9.8115,7,9.9936,0,244
books_200M_uint64,linear_spline,linear_spline,2097152,6.81101,5,6.56252,0,244
books_200M_uint64,linear_spline,linear_spline,4194304,4.78595,4,4.32398,0,244
books_200M_uint64,linear_spline,linear_spline,8388608,3.42142,3,3.08961,0,244
books_200M_uint64,linear_spline,linear_spline,16777216,2.77234,2,2.76239,0,244
books_200M_uint64,linear_spline,linear_spline,33554432,2.1049,1,2.3706,0,244
books_200M_uint64,linear_spline,linear_regression,64,5593.05,2816,7242,0,57683
books_200M_uint64,linear_spline,linear_regression,128,1669.68,917,2201.37,0,25433
books_200M_uint64,linear_spline,linear_regression,256,682.768,381,811.777,0,10225
books_200M_uint64,linear_spline,linear_regression,512,373.074,218,429.289,0,4357
books_200M_uint64,linear_spline,linear_regression,1024,220.354,137,236.714,0,2140
books_200M_uint64,linear_spline,linear_regression,2048,146.091,94,149.734,0,1584
books_200M_uint64,linear_spline,linear_regression,4096,106.143,67,109.715,0,1111
books_200M_uint64,linear_spline,linear_regression,8192,75.8598,48,78.2393,0,1025
books_200M_uint64,linear_spline,linear_regression,16384,53.139,34,54.6879,0,661
books_200M_uint64,linear_spline,linear_regression,32768,37.609,24,38.4713,0,512
books_200M_uint64,linear_spline,linear_regression,65536,26.4457,17,26.9621,0,356
books_200M_uint64,linear_spline,linear_regression,131072,18.598,12,18.8509,0,312
books_200M_uint64,linear_spline,linear_regression,262144,13.0121,9,13.0062,0,255
books_200M_uint64,linear_spline,linear_regression,524288,9.03413,6,8.80043,0,209
books_200M_uint64,linear_spline,linear_regression,1048576,6.23295,5,5.81681,0,203
books_200M_uint64,linear_spline,linear_regression,2097152,4.29719,3,3.77002,0,143
books_200M_uint64,linear_spline,linear_regression,4194304,3.0533,2,2.54618,0,132
books_200M_uint64,linear_spline,linear_regression,8388608,2.33358,2,1.98641,0,126
books_200M_uint64,linear_spline,linear_regression,16777216,1.85872,1,1.77086,0,123
books_200M_uint64,linear_spline,linear_regression,33554432,1.31175,1,1.41858,0,122
books_200M_uint64,cubic_spline,linear_spline,64,27899.2,3363,118650,0,1146689
books_200M_uint64,cubic_spline,linear_spline,128,6953.62,840,31096.6,0,383589
books_200M_uint64,cubic_spline,linear_spline,256,2088.9,443,7335.87,0,125702
books_200M_uint64,cubic_spline,linear_spline,512,939.659,261,4105.58,0,116144
books_200M_uint64,cubic_spline,linear_spline,1024,611.952,164,3842.27,0,114118
books_200M_uint64,cubic_spline,linear_spline,2048,424.825,111,3912.84,0,120009
books_200M_uint64,cubic_spline,linear_spline,4096,354.456,78,4098.94,0,123303
books_200M_uint64,cubic_spline,linear_spline,8192,282.701,55,3829.59,0,119291
books_200M_uint64,cubic_spline,linear_spline,16384,213.124,39,3196,0,108048
books_200M_uint64,cubic_spline,linear_spline,32768,136.392,28,2278.7,0,88428
books_200M_uint64,cubic_spline,linear_spline,65536,78.0639,20,1292.83,0,60166
books_200M_uint64,cubic_spline,linear_spline,131072,42.6818,14,633.423,0,37374
books_200M_uint64,cubic_spline,linear_spline,262144,24.3084,10,223.19,0,17557
books_200M_uint64,cubic_spline,linear_spline,524288,15.5755,8,93.123,0,9110
books_200M_uint64,cubic_spline,linear_spline,1048576,10.2666,6,39.034,0,5448
books_200M_uint64,cubic_spline,linear_spline,2097152,7.00989,4,20.2538,0,3714
books_200M_uint64,cubic_spline,linear_spline,4194304,4.87912,3,11.4323,0,2443
books_200M_uint64,cubic_spline,linear_spline,8388608,3.5697,2,6.00376,0,1168
books_200M_uint64,cubic_spline,linear_spline,16777216,2.55246,2,3.57624,0,419
books_200M_uint64,cubic_spline,linear_spline,33554432,1.78328,1,2.6463,0,273
books_200M_uint64,cubic_spline,linear_regression,64,11666.4,1471,50906.4,0,720314
books_200M_uint64,cubic_spline,linear_regression,128,2778.26,527,12218.9,0,271201
books_200M_uint64,cubic_spline,linear_regression,256,1077.5,284,3521.34,0,62802
books_200M_uint64,cubic_spline,linear_regression,512,612.779,167,2874.36,0,62815
books_200M_uint64,cubic_spline,linear_regression,1024,381.957,109,2289.27,0,59033
books_200M_uint64,cubic_spline,linear_regression,2048,208.87,75,1160.46,0,47259
books_200M_uint64,cubic_spline,linear_regression,4096,139.656,53,722.576,0,22280
books_200M_uint64,cubic_spline,linear_regression,8192,97.3959,38,564.358,0,23832
books_200M_uint64,cubic_spline,linear_regression,16384,76.423,27,574.261,0,21525
books_200M_uint64,cubic_spline,linear_regression,32768,56.6631,19,537.379,0,22398
books_200M_uint64,cubic_spline,linear_regression,65536,37.2165,14,361.158,0,21023
books_200M_uint64,cubic_spline,linear_regression,131072,22.8191,10,191.174,0,16942
books_200M_uint64,cubic_spline,linear_regression,262144,14.4178,7,70.5602,0,7786
books_200M_uint64,cubic_spline,linear_regression,524288,9.49375,5,28.1582,0,4520
books_200M_uint64,cubic_spline,linear_regression,1048576,6.41467,4,13.0955,0,2195
books_200M_uint64,cubic_spline,linear_regression,2097152,4.41194,3,8.23182,0,1459
books_200M_uint64,cubic_spline,linear_regression,4194304,3.11771,2,5.61829,0,1190
books_200M_uint64,cubic_spline,linear_regression,8388608,2.27069,2,3.23331,0,836
books_200M_uint64,cubic_spline,linear_regression,16777216,1.58202,1,2.11787,0,297
books_200M_uint64,cubic_spline,linear_regression,33554432,1.08579,1,1.5591,0,199
books_200M_uint64,linear_regression,linear_spline,64,240058,5109,932631,0,5150153
books_200M_uint64,linear_regression,linear_spline,128,215028,1058,872959,0,4915766
books_200M_uint64,linear_regression,linear_spline,256,203796,489,842064,0,4793081
books_200M_uint64,linear_regression,linear_spline,512,198488,307,826873,0,4732075
books_200M_uint64,linear_regression,linear_spline,1024,195957,201,819451,0,4702108
books_200M_uint64,linear_regression,linear_spline,2048,194593,132,815516,0,4686145
books_200M_uint64,linear_regression,linear_spline,4096,193936,96,813613,0,4678410
books_200M_uint64,linear_regression,linear_spline,8192,193566,67,812574,0,4674175
books_200M_uint64,linear_regression,linear_spline,16384,193390,47,812113,0,4672285
books_200M_uint64,linear_regression,linear_spline,32768,193287,34,811852,0,4671210
books_200M_uint64,linear_regression,linear_spline,65536,193241,24,811753,0,4670797
books_200M_uint64,linear_regression,linear_spline,131072,193210,17,811688,0,4670522
books_200M_uint64,linear_regression,linear_spline,262144,193195,12,811666,0,4670428
books_200M_uint64,linear_regression,linear_spline,524288,193186,9,811652,0,4670366
books_200M_uint64,linear_regression,linear_spline,1048576,193180,6,811646,0,4670338
books_200M_uint64,linear_regression,linear_spline,2097152,193176,5,811641,0,4670314
books_200M_uint64,linear_regression,linear_spline,4194304,193173,4,811639,0,4670307
books_200M_uint64,linear_regression,linear_spline,8388608,193172,3,811639,0,4670305
books_200M_uint64,linear_regression,linear_spline,16777216,193172,2,811639,0,4670303
books_200M_uint64,linear_regression,linear_spline,33554432,193171,1,811638,0,4670300
books_200M_uint64,linear_regression,linear_regression,64,85856.6,2076,342356,0,2642636
books_200M_uint64,linear_regression,linear_regression,128,77473.8,668,323086,0,2549559
books_200M_uint64,linear_regression,linear_regression,256,73750.3,314,313153,0,2496985
books_200M_uint64,linear_regression,linear_regression,512,71946.3,194,308256,0,2470871
books_200M_uint64,linear_regression,linear_regression,1024,71086.3,131,305841,0,2458282
books_200M_uint64,linear_regression,linear_regression,2048,70630,91,304589,0,2451073
books_200M_uint64,linear_regression,linear_regression,4096,70400.7,64,303978,0,2447692
books_200M_uint64,linear_regression,linear_regression,8192,70272,45,303655,0,2445663
books_200M_uint64,linear_regression,linear_regression,16384,70206,32,303507,0,2444857
books_200M_uint64,linear_regression,linear_regression,32768,70167.3,23,303427,0,2444336
books_200M_uint64,linear_regression,linear_regression,65536,70147.3,16,303394,0,2444189
books_200M_uint64,linear_regression,linear_regression,131072,70134.3,12,303375,0,2444052
books_200M_uint64,linear_regression,linear_regression,262144,70127.2,8,303367,0,2444029
books_200M_uint64,linear_regression,linear_regression,524288,70122.5,6,303363,0,2443998
books_200M_uint64,linear_regression,linear_regression,1048576,70119.5,4,303361,0,2443986
books_200M_uint64,linear_regression,linear_regression,2097152,70117.5,3,303360,0,2443970
books_200M_uint64,linear_regression,linear_regression,4194304,70116.3,2,303360,0,2443969
books_200M_uint64,linear_regression,linear_regression,8388608,70115.7,2,303360,0,2443968
books_200M_uint64,linear_regression,linear_regression,16777216,70115.2,1,303360,0,2443967
books_200M_uint64,linear_regression,linear_regression,33554432,70114.7,1,303360,0,2443965
books_200M_uint64,radix,linear_spline,64,51271.8,30520,62434.7,0,322776
books_200M_uint64,radix,linear_spline,128,13644.7,7580,16668.4,0,73402
books_200M_uint64,radix,linear_spline,256,3689.51,1795,4925.67,0,37214
books_200M_uint64,radix,linear_spline,512,1286.62,601,1677.61,0,12228
books_200M_uint64,radix,linear_spline,1024,637.46,334,784.822,0,6477
books_200M_uint64,radix,linear_spline,2048,364.685,217,413.488,0,3772
books_200M_uint64,radix,linear_spline,4096,225.6,137,248.161,0,2255
books_200M_uint64,radix,linear_spline,8192,161.022,97,176.562,0,1659
books_200M_uint64,radix,linear_spline,16384,116.762,71,126.774,0,1269
books_200M_uint64,radix,linear_spline,32768,82.1163,50,89.3767,0,892
books_200M_uint64,radix,linear_spline,65536,57.7123,35,62.4189,0,679
books_200M_uint64,radix,linear_spline,131072,40.6853,25,43.9735,0,471
books_200M_uint64,radix,linear_spline,262144,28.7767,18,30.9075,0,345
books_200M_uint64,radix,linear_spline,524288,20.2375,13,21.5828,0,246
books_200M_uint64,radix,linear_spline,1048576,14.0939,9,14.8148,0,244
books_200M_uint64,radix,linear_spline,2097152,9.81137,7,9.99253,0,244
books_200M_uint64,radix,linear_spline,4194304,6.81088,5,6.56084,0,244
books_200M_uint64,radix,linear_spline,8388608,4.78583,4,4.32138,0,244
books_200M_uint64,radix,linear_spline,16777216,3.42142,3,3.08961,0,244
books_200M_uint64,radix,linear_spline,33554432,2.77234,2,2.76239,0,244
books_200M_uint64,radix,linear_regression,64,19768.2,9987,27026.6,0,206735
books_200M_uint64,radix,linear_regression,128,5593.03,2816,7242,0,57683
books_200M_uint64,radix,linear_regression,256,1669.68,917,2201.37,0,25433
books_200M_uint64,radix,linear_regression,512,682.768,381,811.777,0,10225
books_200M_uint64,radix,linear_regression,1024,373.074,218,429.289,0,4357
books_200M_uint64,radix,linear_regression,2048,220.354,137,236.714,0,2140
books_200M_uint64,radix,linear_regression,4096,146.091,94,149.734,0,1584
books_200M_uint64,radix,linear_regression,8192,106.143,67,109.715,0,1111
books_200M_uint64,radix,linear_regression,16384,75.8598,48,78.2394,0,1025
books_200M_uint64,radix,linear_regression,32768,53.139,34,54.6879,0,661
books_200M_uint64,radix,linear_regression,65536,37.6089,24,38.4713,0,512
books_200M_uint64,radix,linear_regression,131072,26.4457,17,26.9621,0,356
books_200M_uint64,radix,linear_regression,262144,18.598,12,18.8509,0,312
books_200M_uint64,radix,linear_regression,524288,13.0121,9,13.0062,0,255
books_200M_uint64,radix,linear_regression,1048576,9.03413,6,8.80042,0,209
books_200M_uint64,radix,linear_regression,2097152,6.23294,5,5.8168,0,203
books_200M_uint64,radix,linear_regression,4194304,4.29719,3,3.77002,0,143
books_200M_uint64,radix,linear_regression,8388608,3.0533,2,2.54617,0,132
books_200M_uint64,radix,linear_regression,16777216,2.33358,2,1.98641,0,126
books_200M_uint64,radix,linear_regression,33554432,1.85872,1,1.77086,0,123
fb_200M_uint64,linear_spline,linear_spline,64,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,128,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,256,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,512,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,1024,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,2048,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,4096,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,8192,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,16384,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,linear_spline,linear_spline,32768,9.99862e+07,99986214,5.77271e+07,0,199972513
fb_200M_uint64,linear_spline,linear_spline,65536,9.99633e+07,99963277,5.77139e+07,0,199926759
fb_200M_uint64,linear_spline,linear_spline,131072,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,262144,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,524288,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,1048576,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,2097152,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,4194304,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,8388608,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,16777216,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_spline,33554432,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_spline,linear_regression,64,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,128,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,256,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,512,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,1024,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,2048,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,4096,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,8192,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,16384,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,32768,4.4605e+07,44612930,2.57502e+07,0,89244405
fb_200M_uint64,linear_spline,linear_regression,65536,1.95926e+07,19634781,1.12976e+07,0,39365243
fb_200M_uint64,linear_spline,linear_regression,131072,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,262144,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,524288,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,1048576,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,2097152,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,4194304,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,8388608,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,16777216,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,33554432,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_spline,64,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,128,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,256,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,512,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,1024,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,2048,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,4096,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,8192,9.9989e+07,99988970,5.77287e+07,0,199978007
fb_200M_uint64,cubic_spline,linear_spline,16384,9.9978e+07,99977956,5.77223e+07,0,199956040
fb_200M_uint64,cubic_spline,linear_spline,32768,9.9945e+07,99944935,5.77033e+07,0,199890169
fb_200M_uint64,cubic_spline,linear_spline,65536,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,131072,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,262144,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,524288,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,1048576,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,2097152,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,4194304,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,8388608,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,16777216,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,33554432,205743,220260,85099.9,0,374972
