dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
osm_cellids_200M_uint64,linear_regression,linear_regression,1024,233663,80365,398285,0,3392416
osm_cellids_200M_uint64,linear_regression,linear_regression,2048,115728,41361,229458,0,8308716
osm_cellids_200M_uint64,linear_regression,linear_regression,4096,79574.6,25225,149170,0,2492871
osm_cellids_200M_uint64,linear_regression,linear_regression,8192,49279.7,13798,117954,0,2171884
osm_cellids_200M_uint64,linear_regression,linear_regression,16384,31426.2,7544,97938.9,0,1423261
osm_cellids_200M_uint64,linear_regression,linear_regression,32768,21860.4,4001,94317.5,0,1809679
osm_cellids_200M_uint64,linear_regression,linear_regression,65536,18055.2,2210,93866.4,0,1314250
osm_cellids_200M_uint64,linear_regression,linear_regression,131072,15054.2,1184,93528.9,0,1314223
osm_cellids_200M_uint64,linear_regression,linear_regression,262144,13556.3,632,93525.5,0,1314222
osm_cellids_200M_uint64,linear_regression,linear_regression,524288,12597.9,332,93567.8,0,1314207
osm_cellids_200M_uint64,linear_regression,linear_regression,1048576,12022.5,177,93605.5,0,1314206
osm_cellids_200M_uint64,linear_regression,linear_regression,2097152,11684,95,93634.8,0,1314206
osm_cellids_200M_uint64,linear_regression,linear_regression,4194304,11497.9,51,93653.7,0,1314206
osm_cellids_200M_uint64,linear_regression,linear_regression,8388608,11391.6,28,93665.2,0,1314206
osm_cellids_200M_uint64,linear_regression,linear_regression,16777216,11330.8,16,93672.1,0,1314206
osm_cellids_200M_uint64,linear_regression,linear_regression,33554432,11297.4,9,93676,0,1314206
osm_cellids_200M_uint64,radix,linear_spline,64,9.55266e+06,2444365,1.32337e+07,0,40458436
osm_cellids_200M_uint64,radix,linear_spline,128,5.62624e+06,1549141,7.7645e+06,0,25774638
osm_cellids_200M_uint64,radix,linear_spline,256,2.09958e+06,676661,3.15836e+06,0,12481094
osm_cellids_200M_uint64,radix,linear_spline,512,761790,369483,1.09921e+06,0,7292498
osm_cellids_200M_uint64,radix,linear_spline,1024,646794,247898,950687,0,6114610
osm_cellids_200M_uint64,radix,linear_spline,2048,397392,112930,749273,0,5737697
osm_cellids_200M_uint64,radix,linear_spline,4096,201776,63343,430075,0,3596426
osm_cellids_200M_uint64,radix,linear_spline,8192,116093,34949,253697,0,2301941
osm_cellids_200M_uint64,radix,linear_spline,16384,65951.4,19808,134119,0,1430701
osm_cellids_200M_uint64,radix,linear_spline,32768,33054.1,10419,62941.9,0,681909
osm_cellids_200M_uint64,radix,linear_spline,65536,20100.5,5799,42443.6,0,653138
osm_cellids_200M_uint64,radix,linear_spline,131072,10961.9,2981,23607.8,0,350961
osm_cellids_200M_uint64,radix,linear_spline,262144,6980.27,1687,15535.3,0,243433
osm_cellids_200M_uint64,radix,linear_spline,524288,3625.4,819,7610.31,0,100223
osm_cellids_200M_uint64,radix,linear_spline,1048576,2326.06,462,5491.27,0,86192
osm_cellids_200M_uint64,radix,linear_spline,2097152,1263.6,231,3075.27,0,55738
osm_cellids_200M_uint64,radix,linear_spline,4194304,783.94,130,1997.09,0,44859
osm_cellids_200M_uint64,radix,linear_spline,8388608,404.095,67,1038.16,0,25452
osm_cellids_200M_uint64,radix,linear_spline,16777216,245.113,38,604.865,0,11833
osm_cellids_200M_uint64,radix,linear_spline,33554432,127.234,20,302.307,0,6719
osm_cellids_200M_uint64,radix,linear_regression,64,3.94767e+06,1320429,5.79827e+06,0,48378473
osm_cellids_200M_uint64,radix,linear_regression,128,2.58556e+06,735305,3.51834e+06,0,21460040
osm_cellids_200M_uint64,radix,linear_regression,256,1.48727e+06,409800,2.08774e+06,0,8816736
osm_cellids_200M_uint64,radix,linear_regression,512,504037,196553,797830,0,5628266
osm_cellids_200M_uint64,radix,linear_regression,1024,343908,133343,521606,0,10427880
osm_cellids_200M_uint64,radix,linear_regression,2048,233841,78661,432379,0,3369946
osm_cellids_200M_uint64,radix,linear_regression,4096,116750,40541,223311,0,4681304
osm_cellids_200M_uint64,radix,linear_regression,8192,68298.3,23175,131784,0,3134837
osm_cellids_200M_uint64,radix,linear_regression,16384,40679.8,12896,82437.5,0,2359740
osm_cellids_200M_uint64,radix,linear_regression,32768,19272.5,6518,34668.8,0,986954
osm_cellids_200M_uint64,radix,linear_regression,65536,11365.1,3669,20357.8,0,1979216
osm_cellids_200M_uint64,radix,linear_regression,131072,6415.25,1906,12462.5,0,491682
osm_cellids_200M_uint64,radix,linear_regression,262144,3914.59,1068,8160.16,0,760531
osm_cellids_200M_uint64,radix,linear_regression,524288,2162.24,542,4290.66,0,232082
osm_cellids_200M_uint64,radix,linear_regression,1048576,1298.82,298,2804.72,0,477086
osm_cellids_200M_uint64,radix,linear_regression,2097152,738.088,151,1662.6,0,217128
osm_cellids_200M_uint64,radix,linear_regression,4194304,438.551,84,1030.39,0,83021
osm_cellids_200M_uint64,radix,linear_regression,8388608,239.76,44,577.773,0,33736
osm_cellids_200M_uint64,radix,linear_regression,16777216,138.536,25,320.014,0,40161
osm_cellids_200M_uint64,radix,linear_regression,33554432,74.3471,13,165.367,0,9285
wiki_ts_200M_uint64,linear_spline,linear_spline,64,52919.4,34466,54594.9,0,310491
wiki_ts_200M_uint64,linear_spline,linear_spline,128,25256.9,19263,22918.7,0,151727
wiki_ts_200M_uint64,linear_spline,linear_spline,256,15586.2,11625,14988.7,0,124477
wiki_ts_200M_uint64,linear_spline,linear_spline,512,12214.1,9447,10630.6,0,64820
wiki_ts_200M_uint64,linear_spline,linear_spline,1024,8219.24,6404,7085.33,0,44199
wiki_ts_200M_uint64,linear_spline,linear_spline,2048,6696.89,5315,5684.97,0,39410
wiki_ts_200M_uint64,linear_spline,linear_spline,4096,5749.2,4324,5056.71,0,26243
wiki_ts_200M_uint64,linear_spline,linear_spline,8192,1985.43,1477,1816.4,0,30313
wiki_ts_200M_uint64,linear_spline,linear_spline,16384,583.698,407,590.357,0,23363
wiki_ts_200M_uint64,linear_spline,linear_spline,32768,192.196,124,405.569,0,31726
wiki_ts_200M_uint64,linear_spline,linear_spline,65536,77.9756,48,275.747,0,22349
wiki_ts_200M_uint64,linear_spline,linear_spline,131072,39.8135,23,324.297,0,26445
wiki_ts_200M_uint64,linear_spline,linear_spline,262144,21.5052,13,217.928,0,21025
wiki_ts_200M_uint64,linear_spline,linear_spline,524288,13.4536,8,215.895,0,21025
wiki_ts_200M_uint64,linear_spline,linear_spline,1048576,9.31337,5,215.623,0,21025
wiki_ts_200M_uint64,linear_spline,linear_spline,2097152,7.02908,4,215.565,0,21025
wiki_ts_200M_uint64,linear_spline,linear_spline,4194304,5.66094,3,215.553,0,21025
wiki_ts_200M_uint64,linear_spline,linear_spline,8388608,2.57423,2,2.45502,0,263
wiki_ts_200M_uint64,linear_spline,linear_spline,16777216,1.99251,1,1.92759,0,139
wiki_ts_200M_uint64,linear_spline,linear_spline,33554432,1.64241,1,1.6894,0,138
wiki_ts_200M_uint64,linear_spline,linear_regression,64,31657.5,21422,31984.4,0,197083
wiki_ts_200M_uint64,linear_spline,linear_regression,128,15522.9,11812,14058.7,0,117757
wiki_ts_200M_uint64,linear_spline,linear_regression,256,10931.3,8604,9355.57,0,106765
wiki_ts_200M_uint64,linear_spline,linear_regression,512,7813.24,6364,6408.36,0,42006
wiki_ts_200M_uint64,linear_spline,linear_regression,1024,6139.96,5478,4483.33,0,30591
wiki_ts_200M_uint64,linear_spline,linear_regression,2048,5678.73,5230,4014.17,0,29061
wiki_ts_200M_uint64,linear_spline,linear_regression,4096,2695.72,2076,2370.81,0,31871
wiki_ts_200M_uint64,linear_spline,linear_regression,8192,822.59,574,832.29,0,70416
wiki_ts_200M_uint64,linear_spline,linear_regression,16384,255.469,171,311.537,0,142570
wiki_ts_200M_uint64,linear_spline,linear_regression,32768,92.1439,61,176.286,0,104267
wiki_ts_200M_uint64,linear_spline,linear_regression,65536,41.5035,27,142.907,0,37380
wiki_ts_200M_uint64,linear_spline,linear_regression,131072,21.8101,14,132.516,0,37380
wiki_ts_200M_uint64,linear_spline,linear_regression,262144,13.0942,8,130.739,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,524288,8.59582,5,130.066,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,1048576,6.19781,3,129.979,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,2097152,4.80436,2,129.957,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,4194304,3.92776,2,129.954,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,8388608,3.33483,1,129.955,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,16777216,2.9232,1,129.958,0,10512
wiki_ts_200M_uint64,linear_spline,linear_regression,33554432,2.64562,1,129.96,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_spline,64,42630.5,26198,44982.4,0,239263
wiki_ts_200M_uint64,cubic_spline,linear_spline,128,22601.8,15262,24807.9,0,184963
wiki_ts_200M_uint64,cubic_spline,linear_spline,256,14971.5,11234,14064.3,0,106840
wiki_ts_200M_uint64,cubic_spline,linear_spline,512,11049.3,8419,9871.61,0,70919
wiki_ts_200M_uint64,cubic_spline,linear_spline,1024,7905.31,6146,6788.74,0,47464
wiki_ts_200M_uint64,cubic_spline,linear_spline,2048,7323.85,5540,6452.3,0,40553
wiki_ts_200M_uint64,cubic_spline,linear_spline,4096,4564.8,3389,4152.3,0,31514
wiki_ts_200M_uint64,cubic_spline,linear_spline,8192,1448.77,1016,1419.5,0,25754
wiki_ts_200M_uint64,cubic_spline,linear_spline,16384,429.783,277,483.368,0,21856
wiki_ts_200M_uint64,cubic_spline,linear_spline,32768,149.553,90,413.146,0,34597
wiki_ts_200M_uint64,cubic_spline,linear_spline,65536,65.1184,38,346.495,0,30563
wiki_ts_200M_uint64,cubic_spline,linear_spline,131072,30.5616,19,80.5663,0,6863
wiki_ts_200M_uint64,cubic_spline,linear_spline,262144,17.2536,11,73.9551,0,6863
wiki_ts_200M_uint64,cubic_spline,linear_spline,524288,12.062,7,215.741,0,21025
wiki_ts_200M_uint64,cubic_spline,linear_spline,1048576,8.57336,5,215.599,0,21025
wiki_ts_200M_uint64,cubic_spline,linear_spline,2097152,6.59531,3,215.562,0,21025
wiki_ts_200M_uint64,cubic_spline,linear_spline,4194304,5.38537,2,215.553,0,21025
wiki_ts_200M_uint64,cubic_spline,linear_spline,8388608,4.60188,2,215.552,0,21025
wiki_ts_200M_uint64,cubic_spline,linear_spline,16777216,4.08815,1,215.553,0,21025
wiki_ts_200M_uint64,cubic_spline,linear_spline,33554432,1.57996,1,1.6809,0,141
wiki_ts_200M_uint64,cubic_spline,linear_regression,64,24197.5,16473,24298,0,210414
wiki_ts_200M_uint64,cubic_spline,linear_regression,128,13542.2,10317,12573.5,0,146352
wiki_ts_200M_uint64,cubic_spline,linear_regression,256,10139.2,8033,8632.05,0,75864
wiki_ts_200M_uint64,cubic_spline,linear_regression,512,7100.11,5913,5703.92,0,50605
wiki_ts_200M_uint64,cubic_spline,linear_regression,1024,5892.99,5252,4314.15,0,31686
wiki_ts_200M_uint64,cubic_spline,linear_regression,2048,5082.75,4402,3869.07,0,32302
wiki_ts_200M_uint64,cubic_spline,linear_regression,4096,2019.13,1484,1913.58,0,20843
wiki_ts_200M_uint64,cubic_spline,linear_regression,8192,606.766,406,652.945,0,35834
wiki_ts_200M_uint64,cubic_spline,linear_regression,16384,192.313,124,271.72,0,75095
wiki_ts_200M_uint64,cubic_spline,linear_regression,32768,73.5856,48,183.549,0,104204
wiki_ts_200M_uint64,cubic_spline,linear_regression,65536,34.7594,22,144.961,0,104273
wiki_ts_200M_uint64,cubic_spline,linear_regression,131072,18.869,12,131.747,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,262144,11.5911,7,130.559,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,524288,7.81288,5,130.03,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,1048576,5.75054,3,129.97,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,2097152,4.53034,2,129.956,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,4194304,3.74324,2,129.955,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,8388608,3.20614,1,129.956,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,16777216,2.83414,1,129.958,0,10512
wiki_ts_200M_uint64,cubic_spline,linear_regression,33554432,2.58956,1,129.96,0,10512
wiki_ts_200M_uint64,linear_regression,linear_spline,64,223240,23294,894826,0,5667694
wiki_ts_200M_uint64,linear_regression,linear_spline,128,199864,14326,857123,0,5478937
wiki_ts_200M_uint64,linear_regression,linear_spline,256,191248,11006,842886,0,5406818
wiki_ts_200M_uint64,linear_regression,linear_spline,512,186390,7688,839910,0,5389529
wiki_ts_200M_uint64,linear_regression,linear_spline,1024,183012,6220,834662,0,5363681
wiki_ts_200M_uint64,linear_regression,linear_spline,2048,181536,5290,832275,0,5352018
wiki_ts_200M_uint64,linear_regression,linear_spline,4096,177276,1808,831403,0,5344527
wiki_ts_200M_uint64,linear_regression,linear_spline,8192,175706,495,831232,0,5342395
wiki_ts_200M_uint64,linear_regression,linear_spline,16384,175245,149,831126,0,5341529
wiki_ts_200M_uint64,linear_regression,linear_spline,32768,175092,57,831021,0,5340945
wiki_ts_200M_uint64,linear_regression,linear_spline,65536,175033,27,830959,0,5340624
wiki_ts_200M_uint64,linear_regression,linear_spline,131072,175007,15,830927,0,5340467
wiki_ts_200M_uint64,linear_regression,linear_spline,262144,174994,9,830912,0,5340390
wiki_ts_200M_uint64,linear_regression,linear_spline,524288,174987,6,830905,0,5340355
wiki_ts_200M_uint64,linear_regression,linear_spline,1048576,174984,4,830900,0,5340329
wiki_ts_200M_uint64,linear_regression,linear_spline,2097152,174982,3,830898,0,5340321
wiki_ts_200M_uint64,linear_regression,linear_spline,4194304,174981,2,830898,0,5340320
wiki_ts_200M_uint64,linear_regression,linear_spline,8388608,174980,2,830897,0,5340315
wiki_ts_200M_uint64,linear_regression,linear_spline,16777216,174979,1,830897,0,5340313
wiki_ts_200M_uint64,linear_regression,linear_spline,33554432,174979,1,830897,0,5340313
wiki_ts_200M_uint64,linear_regression,linear_regression,64,73981.7,14629,273168,0,2352017
wiki_ts_200M_uint64,linear_regression,linear_regression,128,65257.5,9938,263239,0,2295778
wiki_ts_200M_uint64,linear_regression,linear_regression,256,60947.8,7372,259322,0,2287986
wiki_ts_200M_uint64,linear_regression,linear_regression,512,58839.4,6213,258170,0,2289866
wiki_ts_200M_uint64,linear_regression,linear_regression,1024,57942.9,5877,256704,0,2280239
wiki_ts_200M_uint64,linear_regression,linear_regression,2048,54823.3,2463,256558,0,2276307
wiki_ts_200M_uint64,linear_regression,linear_regression,4096,52796.4,699,256490,0,2272999
wiki_ts_200M_uint64,linear_regression,linear_regression,8192,52166.1,205,256464,0,2272579
wiki_ts_200M_uint64,linear_regression,linear_regression,16384,51981,72,256436,0,2272521
wiki_ts_200M_uint64,linear_regression,linear_regression,32768,51918.2,32,256408,0,2272378
wiki_ts_200M_uint64,linear_regression,linear_regression,65536,51892.6,17,256392,0,2272282
wiki_ts_200M_uint64,linear_regression,linear_regression,131072,51880.8,10,256383,0,2272239
wiki_ts_200M_uint64,linear_regression,linear_regression,262144,51874.9,6,256379,0,2272218
wiki_ts_200M_uint64,linear_regression,linear_regression,524288,51871.8,4,256377,0,2272209
wiki_ts_200M_uint64,linear_regression,linear_regression,1048576,51870,3,256376,0,2272199
wiki_ts_200M_uint64,linear_regression,linear_regression,2097152,51869,2,256376,0,2272199
wiki_ts_200M_uint64,linear_regression,linear_regression,4194304,51868.3,1,256376,0,2272199
wiki_ts_200M_uint64,linear_regression,linear_regression,8388608,51867.8,1,256376,0,2272197
wiki_ts_200M_uint64,linear_regression,linear_regression,16777216,51867.5,1,256375,0,2272196
wiki_ts_200M_uint64,linear_regression,linear_regression,33554432,51867.4,1,256375,0,2272196
wiki_ts_200M_uint64,radix,linear_spline,64,1.64867e+06,951217,1.54644e+06,0,4695009
wiki_ts_200M_uint64,radix,linear_spline,128,680968,652056,514184,0,2197406
wiki_ts_200M_uint64,radix,linear_spline,256,218623,194283,174463,0,780613
wiki_ts_200M_uint64,radix,linear_spline,512,60044.1,41391,60243,0,364184
wiki_ts_200M_uint64,radix,linear_spline,1024,27765,20793,25742.8,0,169874
wiki_ts_200M_uint64,radix,linear_spline,2048,18565.8,12960,18909.4,0,136545
wiki_ts_200M_uint64,radix,linear_spline,4096,13861.5,10446,12486.9,0,74131
wiki_ts_200M_uint64,radix,linear_spline,8192,9303.23,7161,8070.48,0,49213
wiki_ts_200M_uint64,radix,linear_spline,16384,6569.65,5319,5430.63,0,31717
wiki_ts_200M_uint64,radix,linear_spline,32768,6592.49,5018,5798.98,0,33977
wiki_ts_200M_uint64,radix,linear_spline,65536,2496.21,1877,2225.57,0,22510
wiki_ts_200M_uint64,radix,linear_spline,131072,734.768,518,727.062,0,28099
wiki_ts_200M_uint64,radix,linear_spline,262144,229.567,150,291.006,0,18659
wiki_ts_200M_uint64,radix,linear_spline,524288,92.1346,56,381.618,0,32462
wiki_ts_200M_uint64,radix,linear_spline,1048576,44.8125,26,334.119,0,27476
wiki_ts_200M_uint64,radix,linear_spline,2097152,23.5454,14,218.638,0,21025
wiki_ts_200M_uint64,radix,linear_spline,4194304,14.4862,9,215.934,0,21025
wiki_ts_200M_uint64,radix,linear_spline,8388608,9.887,6,215.632,0,21025
wiki_ts_200M_uint64,radix,linear_spline,16777216,7.35877,4,215.57,0,21025
wiki_ts_200M_uint64,radix,linear_spline,33554432,5.86477,3,215.555,0,21025
wiki_ts_200M_uint64,radix,linear_regression,64,639032,431620,638022,0,3722429
wiki_ts_200M_uint64,radix,linear_regression,128,306774,257682,237454,0,1396417
wiki_ts_200M_uint64,radix,linear_regression,256,96136.4,78852,80924.6,0,628142
wiki_ts_200M_uint64,radix,linear_regression,512,31894.6,22619,31626.9,0,259677
wiki_ts_200M_uint64,radix,linear_regression,1024,16661.3,12788,15044.7,0,137558
wiki_ts_200M_uint64,radix,linear_regression,2048,11476.6,8845,10168.2,0,113377
wiki_ts_200M_uint64,radix,linear_regression,4096,8348.72,6688,6988.59,0,60617
wiki_ts_200M_uint64,radix,linear_regression,8192,6250.33,5511,4659.14,0,34585
wiki_ts_200M_uint64,radix,linear_regression,16384,5721.44,5243,4062.47,0,27007
wiki_ts_200M_uint64,radix,linear_regression,32768,3254.4,2586,2785.93,0,32002
wiki_ts_200M_uint64,radix,linear_regression,65536,1044,747,1006.06,0,57007
wiki_ts_200M_uint64,radix,linear_regression,131072,314.773,213,364.52,0,129590
wiki_ts_200M_uint64,radix,linear_regression,262144,109.112,73,184.481,0,124714
wiki_ts_200M_uint64,radix,linear_regression,524288,47.4806,32,146.151,0,104275
wiki_ts_200M_uint64,radix,linear_regression,1048576,24.4587,16,134.399,0,44068
wiki_ts_200M_uint64,radix,linear_regression,2097152,14.2572,9,131.005,0,10512
wiki_ts_200M_uint64,radix,linear_regression,4194304,9.20576,6,130.093,0,10512
wiki_ts_200M_uint64,radix,linear_regression,8388608,6.5359,4,129.984,0,10512
wiki_ts_200M_uint64,radix,linear_regression,16777216,5.01022,3,129.959,0,10512
wiki_ts_200M_uint64,radix,linear_regression,33554432,4.06144,2,129.954,0,10512
