dataset,model,n_segments,mean,stdev,median,min,max,n_empty
books_200M_uint64,linear_spline,64,3.125e+06,2.67145e+06,2261979,58887,7729698,0
books_200M_uint64,linear_spline,128,1.5625e+06,1.33593e+06,1101276,12356,3865038,0
books_200M_uint64,linear_spline,256,781250,668002,541878,2644,1932844,0
books_200M_uint64,linear_spline,512,390625,334010,267395,915,967165,0
books_200M_uint64,linear_spline,1024,195312,167010,132204,439,483664,0
books_200M_uint64,linear_spline,2048,97656.2,83507.7,66480,125,242229,0
books_200M_uint64,linear_spline,4096,48828.1,41755.6,33361,46,121263,0
books_200M_uint64,linear_spline,8192,24414.1,20879.7,16721,22,60746,0
books_200M_uint64,linear_spline,16384,12207,10442,8432,5,30499,0
books_200M_uint64,linear_spline,32768,6103.52,5223.2,4263,1,15319,0
books_200M_uint64,linear_spline,65536,3051.76,2613.76,2159,0,7780,4
books_200M_uint64,linear_spline,131072,1525.88,1308.98,1090,0,4017,61
books_200M_uint64,linear_spline,262144,762.939,656.593,551,0,2130,391
books_200M_uint64,linear_spline,524288,381.47,330.345,278,0,1184,1938
books_200M_uint64,linear_spline,1048576,190.735,167.076,140,0,701,10632
books_200M_uint64,linear_spline,2097152,95.3674,85.2249,70,0,477,56332
books_200M_uint64,linear_spline,4194304,47.6837,43.9767,34,0,361,245010
books_200M_uint64,linear_spline,8388608,23.8419,23.0765,16,0,294,892583
books_200M_uint64,linear_spline,16777216,11.9209,12.3071,6,0,269,2901904
books_200M_uint64,linear_spline,33554432,5.96046,6.94537,2,0,258,8758526
books_200M_uint64,cubic_spline,64,3.125e+06,411628,2993436,2589600,4730019,0
books_200M_uint64,cubic_spline,128,1.5625e+06,212682,1494755,1291399,2779235,0
books_200M_uint64,cubic_spline,256,781250,113731,748335,644893,1842900,0
books_200M_uint64,cubic_spline,512,390625,64070.2,374303,322196,1392055,0
books_200M_uint64,cubic_spline,1024,195312,36554.7,186943,161093,1092931,0
books_200M_uint64,cubic_spline,2048,97656.2,21304.4,93623,80476,894937,0
books_200M_uint64,cubic_spline,4096,48828.1,12274.3,46844,40097,722486,0
books_200M_uint64,cubic_spline,8192,24414.1,6905.59,23462,19880,561663,0
books_200M_uint64,cubic_spline,16384,12207,3785.19,11772,9523,419444,0
books_200M_uint64,cubic_spline,32768,6103.52,2015.27,5920,4228,294304,0
books_200M_uint64,cubic_spline,65536,3051.76,1037.83,2976,1968,186940,0
books_200M_uint64,cubic_spline,131072,1525.88,532.35,1497,758,111498,0
books_200M_uint64,cubic_spline,262144,762.939,271.846,752,284,58810,0
books_200M_uint64,cubic_spline,524288,381.47,141.357,376,75,33751,0
books_200M_uint64,cubic_spline,1048576,190.735,75.5104,188,4,19665,0
books_200M_uint64,cubic_spline,2097152,95.3674,41.7829,94,1,12312,0
books_200M_uint64,cubic_spline,4194304,47.6837,23.9723,47,0,7828,78
books_200M_uint64,cubic_spline,8388608,23.8419,14.0956,23,0,4614,6405
books_200M_uint64,cubic_spline,16777216,11.9209,8.83569,11,0,2506,141650
books_200M_uint64,cubic_spline,33554432,5.96046,5.69915,4,0,1716,1556205
books_200M_uint64,linear_regression,64,3.125e+06,2.44338e+06,2564395,0,14641331,9
books_200M_uint64,linear_regression,128,1.5625e+06,1.48938e+06,1262809,0,14024096,19
books_200M_uint64,linear_regression,256,781250,951576,625590,0,13710287,38
books_200M_uint64,linear_regression,512,390625,633980,310772,0,13555151,76
books_200M_uint64,linear_regression,1024,195312,433851,154950,0,13478760,153
books_200M_uint64,linear_regression,2048,97656.2,301484,77226,0,13439041,306
books_200M_uint64,linear_regression,4096,48828.1,211291,38575,0,13419603,612
books_200M_uint64,linear_regression,8192,24414.1,148724,19247,0,13409289,1225
books_200M_uint64,linear_regression,16384,12207,104925,9604,0,13404504,2451
books_200M_uint64,linear_regression,32768,6103.52,74107.4,4778,0,13401900,4903
books_200M_uint64,linear_regression,65536,3051.76,52372.3,2397,0,13400801,9807
books_200M_uint64,linear_regression,131072,1525.88,37022.1,1203,0,13400140,19615
books_200M_uint64,linear_regression,262144,762.939,26174.9,607,0,13399879,39231
books_200M_uint64,linear_regression,524288,381.47,18507.1,307,0,13399726,78463
books_200M_uint64,linear_regression,1048576,190.735,13086,157,0,13399654,156928
books_200M_uint64,linear_regression,2097152,95.3674,9253.05,80,0,13399601,313908
books_200M_uint64,linear_regression,4194304,47.6837,6542.83,41,0,13399581,630947
books_200M_uint64,linear_regression,8388608,23.8419,4626.46,20,0,13399577,1316026
books_200M_uint64,linear_regression,16777216,11.9209,3271.39,9,0,13399573,3054625
books_200M_uint64,linear_regression,33554432,5.96046,2313.22,3,0,13399567,8041995
books_200M_uint64,radix,64,3.125e+06,4.90134e+06,294063,0,15458821,31
books_200M_uint64,radix,128,1.5625e+06,2.45147e+06,58642,0,7729698,63
books_200M_uint64,radix,256,781250,1.22585e+06,12111,0,3865038,127
books_200M_uint64,radix,512,390625,612945,2399,0,1932844,255
books_200M_uint64,radix,1024,195312,306477,670,0,967165,511
books_200M_uint64,radix,2048,97656.2,153241,245,0,483664,1023
books_200M_uint64,radix,4096,48828.1,76622.2,125,0,242229,2047
books_200M_uint64,radix,8192,24414.1,38312,52,0,121263,4095
books_200M_uint64,radix,16384,12207,19157,23,0,60746,8191
books_200M_uint64,radix,32768,6103.52,9579.71,8,0,30499,16383
books_200M_uint64,radix,65536,3051.76,4791.05,1,0,15319,32767
books_200M_uint64,radix,131072,1525.88,2396.7,0,0,7780,65539
books_200M_uint64,radix,262144,762.939,1199.5,0,0,4017,131132
books_200M_uint64,radix,524288,381.47,600.896,0,0,2130,262534
books_200M_uint64,radix,1048576,190.735,301.569,0,0,1184,526225
books_200M_uint64,radix,2097152,95.3674,151.829,0,0,701,1059207
books_200M_uint64,radix,4194304,47.6837,76.8464,0,0,477,2153483
books_200M_uint64,radix,8388608,23.8419,39.1843,0,0,361,4439313
books_200M_uint64,radix,16777216,11.9209,20.2082,0,0,294,9281191
books_200M_uint64,radix,33554432,5.96046,10.548,0,0,269,19679120
fb_200M_uint64,linear_spline,64,3.125e+06,2.48039e+07,0,0,199999991,54
fb_200M_uint64,linear_spline,128,1.5625e+06,1.76085e+07,0,0,199999991,118
fb_200M_uint64,linear_spline,256,781250,1.24756e+07,0,0,199999991,246
fb_200M_uint64,linear_spline,512,390625,8.8302e+06,0,0,199999991,502
fb_200M_uint64,linear_spline,1024,195312,6.24695e+06,0,0,199999991,1014
fb_200M_uint64,linear_spline,2048,97656.2,4.41834e+06,0,0,199999991,2038
fb_200M_uint64,linear_spline,4096,48828.1,3.12462e+06,0,0,199999991,4086
fb_200M_uint64,linear_spline,8192,24414.1,2.20957e+06,0,0,199999991,8182
fb_200M_uint64,linear_spline,16384,12207,1.56245e+06,0,0,199999991,16374
fb_200M_uint64,linear_spline,32768,6103.52,1.10484e+06,0,0,199999985,32757
fb_200M_uint64,linear_spline,65536,3051.76,781244,0,0,199999981,65523
fb_200M_uint64,linear_spline,131072,1525.88,552425,0,0,199999979,131055
fb_200M_uint64,linear_spline,262144,762.939,390624,0,0,199999979,262124
fb_200M_uint64,linear_spline,524288,381.47,276213,0,0,199999979,524266
fb_200M_uint64,linear_spline,1048576,190.735,195312,0,0,199999979,1048554
fb_200M_uint64,linear_spline,2097152,95.3674,138107,0,0,199999979,2097130
fb_200M_uint64,linear_spline,4194304,47.6837,97656.2,0,0,199999979,4194282
fb_200M_uint64,linear_spline,8388608,23.8419,69053.4,0,0,199999979,8388586
fb_200M_uint64,linear_spline,16777216,11.9209,48828.1,0,0,199999979,16777194
fb_200M_uint64,linear_spline,33554432,5.96046,34526.7,0,0,199999979,33554410
fb_200M_uint64,cubic_spline,64,3.125e+06,2.48039e+07,0,0,199999991,56
fb_200M_uint64,cubic_spline,128,1.5625e+06,1.76085e+07,0,0,199999991,119
fb_200M_uint64,cubic_spline,256,781250,1.24756e+07,0,0,199999991,247
fb_200M_uint64,cubic_spline,512,390625,8.8302e+06,0,0,199999991,503
fb_200M_uint64,cubic_spline,1024,195312,6.24695e+06,0,0,199999991,1014
fb_200M_uint64,cubic_spline,2048,97656.2,4.41834e+06,0,0,199999991,2038
fb_200M_uint64,cubic_spline,4096,48828.1,3.12462e+06,0,0,199999991,4086
fb_200M_uint64,cubic_spline,8192,24414.1,2.20957e+06,0,0,199999987,8181
fb_200M_uint64,cubic_spline,16384,12207,1.56245e+06,0,0,199999983,16372
fb_200M_uint64,cubic_spline,32768,6103.52,1.10484e+06,0,0,199999980,32753
fb_200M_uint64,cubic_spline,65536,3051.76,781244,0,0,199999979,65517
fb_200M_uint64,cubic_spline,131072,1525.88,552425,0,0,199999979,131050
fb_200M_uint64,cubic_spline,262144,762.939,390624,0,0,199999979,262122
fb_200M_uint64,cubic_spline,524288,381.47,276213,0,0,199999979,524266
fb_200M_uint64,cubic_spline,1048576,190.735,195312,0,0,199999979,1048554
fb_200M_uint64,cubic_spline,2097152,95.3674,138107,0,0,199999979,2097130
fb_200M_uint64,cubic_spline,4194304,47.6837,97656.2,0,0,199999979,4194282
fb_200M_uint64,cubic_spline,8388608,23.8419,69053.4,0,0,199999979,8388586
fb_200M_uint64,cubic_spline,16777216,11.9209,48828.1,0,0,199999979,16777194
fb_200M_uint64,cubic_spline,33554432,5.96046,34526.7,0,0,199999979,33554410
fb_200M_uint64,linear_regression,64,3.125e+06,2.48039e+07,0,0,199999979,56
fb_200M_uint64,linear_regression,128,1.5625e+06,1.76085e+07,0,0,199999979,119
fb_200M_uint64,linear_regression,256,781250,1.24756e+07,0,0,199999979,247
fb_200M_uint64,linear_regression,512,390625,8.8302e+06,0,0,199999979,503
fb_200M_uint64,linear_regression,1024,195312,6.24695e+06,0,0,199999979,1015
fb_200M_uint64,linear_regression,2048,97656.2,4.41834e+06,0,0,199999979,2039
fb_200M_uint64,linear_regression,4096,48828.1,3.12462e+06,0,0,199999979,4087
fb_200M_uint64,linear_regression,8192,24414.1,2.20957e+06,0,0,199999979,8183
fb_200M_uint64,linear_regression,16384,12207,1.56245e+06,0,0,199999979,16375
fb_200M_uint64,linear_regression,32768,6103.52,1.10484e+06,0,0,199999979,32758
fb_200M_uint64,linear_regression,65536,3051.76,781244,0,0,199999979,65525
fb_200M_uint64,linear_regression,131072,1525.88,552425,0,0,199999979,131058
fb_200M_uint64,linear_regression,262144,762.939,390624,0,0,199999979,262127
fb_200M_uint64,linear_regression,524288,381.47,276213,0,0,199999979,524269
fb_200M_uint64,linear_regression,1048576,190.735,195312,0,0,199999979,1048557
fb_200M_uint64,linear_regression,2097152,95.3674,138107,0,0,199999979,2097133
fb_200M_uint64,linear_regression,4194304,47.6837,97656.2,0,0,199999979,4194285
fb_200M_uint64,linear_regression,8388608,23.8419,69053.4,0,0,199999979,8388589
fb_200M_uint64,linear_regression,16777216,11.9209,48828.1,0,0,199999979,16777197
fb_200M_uint64,linear_regression,33554432,5.96046,34526.7,0,0,199999979,33554413
fb_200M_uint64,radix,64,3.125e+06,2.48039e+07,0,0,199999991,54
fb_200M_uint64,radix,128,1.5625e+06,1.76085e+07,0,0,199999991,118
fb_200M_uint64,radix,256,781250,1.24756e+07,0,0,199999991,246
fb_200M_uint64,radix,512,390625,8.8302e+06,0,0,199999991,502
fb_200M_uint64,radix,1024,195312,6.24695e+06,0,0,199999991,1014
fb_200M_uint64,radix,2048,97656.2,4.41834e+06,0,0,199999991,2038
fb_200M_uint64,radix,4096,48828.1,3.12462e+06,0,0,199999991,4086
fb_200M_uint64,radix,8192,24414.1,2.20957e+06,0,0,199999991,8182
fb_200M_uint64,radix,16384,12207,1.56245e+06,0,0,199999990,16373
fb_200M_uint64,radix,32768,6103.52,1.10484e+06,0,0,199999985,32756
fb_200M_uint64,radix,65536,3051.76,781244,0,0,199999981,65522
fb_200M_uint64,radix,131072,1525.88,552425,0,0,199999979,131054
fb_200M_uint64,radix,262144,762.939,390624,0,0,199999979,262123
fb_200M_uint64,radix,524288,381.47,276213,0,0,199999979,524266
fb_200M_uint64,radix,1048576,190.735,195312,0,0,199999979,1048554
fb_200M_uint64,radix,2097152,95.3674,138107,0,0,199999979,2097130
fb_200M_uint64,radix,4194304,47.6837,97656.2,0,0,199999979,4194282
fb_200M_uint64,radix,8388608,23.8419,69053.4,0,0,199999979,8388586
fb_200M_uint64,radix,16777216,11.9209,48828.1,0,0,199999979,16777194
fb_200M_uint64,radix,33554432,5.96046,34526.7,0,0,199999979,33554410
osm_cellids_200M_uint64,linear_spline,64,3.125e+06,8.23819e+06,395093,0,59974827,1
osm_cellids_200M_uint64,linear_spline,128,1.5625e+06,5.57355e+06,157711,0,56547112,7
osm_cellids_200M_uint64,linear_spline,256,781250,3.21285e+06,43860,0,41680360,39
osm_cellids_200M_uint64,linear_spline,512,390625,1.86237e+06,9929,0,33288137,113
osm_cellids_200M_uint64,linear_spline,1024,195312,977497,1925,0,17687663,304
osm_cellids_200M_uint64,linear_spline,2048,97656.2,514963,170,0,9886058,771
osm_cellids_200M_uint64,linear_spline,4096,48828.1,290115,8,0,9703174,1818
osm_cellids_200M_uint64,linear_spline,8192,24414.1,150723,0,0,5750431,4118
osm_cellids_200M_uint64,linear_spline,16384,12207,80290.1,0,0,4153190,9136
osm_cellids_200M_uint64,linear_spline,32768,6103.52,42958.7,0,0,2729570,19641
osm_cellids_200M_uint64,linear_spline,65536,3051.76,22842.1,0,0,1506752,41604
osm_cellids_200M_uint64,linear_spline,131072,1525.88,12083.2,0,0,846915,87012
osm_cellids_200M_uint64,linear_spline,262144,762.939,6465.2,0,0,656887,180994
osm_cellids_200M_uint64,linear_spline,524288,381.47,3460.32,0,0,460223,375624
osm_cellids_200M_uint64,linear_spline,1048576,190.735,1848.57,0,0,279086,780529
osm_cellids_200M_uint64,linear_spline,2097152,95.3674,988.911,0,0,158008,1621301
osm_cellids_200M_uint64,linear_spline,4194304,47.6837,529.938,0,0,96162,3367946
osm_cellids_200M_uint64,linear_spline,8388608,23.8419,284.393,0,0,67617,6974096
osm_cellids_200M_uint64,linear_spline,16777216,11.9209,151.932,0,0,56849,14400552
osm_cellids_200M_uint64,linear_spline,33554432,5.96046,81.0685,0,0,35700,29614011
osm_cellids_200M_uint64,cubic_spline,64,3.125e+06,1.01926e+07,475995,0,79423616,1
osm_cellids_200M_uint64,cubic_spline,128,1.5625e+06,5.44444e+06,144348,0,51541822,8
osm_cellids_200M_uint64,cubic_spline,256,781250,3.38334e+06,28480,0,46172113,39
osm_cellids_200M_uint64,cubic_spline,512,390625,1.79994e+06,6664,0,31562155,116
osm_cellids_200M_uint64,cubic_spline,1024,195312,947522,1374,0,16902265,312
osm_cellids_200M_uint64,cubic_spline,2048,97656.2,503280,71,0,9195768,793
osm_cellids_200M_uint64,cubic_spline,4096,48828.1,288302,4,0,9016575,1886
osm_cellids_200M_uint64,cubic_spline,8192,24414.1,150720,0,0,5716604,4269
osm_cellids_200M_uint64,cubic_spline,16384,12207,82316.3,0,0,4513580,9412
osm_cellids_200M_uint64,cubic_spline,32768,6103.52,42663.1,0,0,2335195,20166
osm_cellids_200M_uint64,cubic_spline,65536,3051.76,22810.7,0,0,1492832,42524
osm_cellids_200M_uint64,cubic_spline,131072,1525.88,12164.8,0,0,777514,88743
osm_cellids_200M_uint64,cubic_spline,262144,762.939,6488.22,0,0,533795,184210
osm_cellids_200M_uint64,cubic_spline,524288,381.47,3500.03,0,0,445187,381661
osm_cellids_200M_uint64,cubic_spline,1048576,190.735,1883.55,0,0,225532,790742
osm_cellids_200M_uint64,cubic_spline,2097152,95.3674,1012.57,0,0,189859,1639927
osm_cellids_200M_uint64,cubic_spline,4194304,47.6837,544.54,0,0,114775,3396727
osm_cellids_200M_uint64,cubic_spline,8388608,23.8419,293.422,0,0,95644,7014816
osm_cellids_200M_uint64,cubic_spline,16777216,11.9209,159.949,0,0,92285,14446165
osm_cellids_200M_uint64,cubic_spline,33554432,5.96046,86.0446,0,0,73604,29654871
osm_cellids_200M_uint64,linear_regression,64,3.125e+06,9.48741e+06,855990,34,74208171,0
osm_cellids_200M_uint64,linear_regression,128,1.5625e+06,5.41727e+06,205090,0,55941255,7
osm_cellids_200M_uint64,linear_regression,256,781250,2.83485e+06,76161,0,33873507,31
osm_cellids_200M_uint64,linear_regression,512,390625,1.57678e+06,23240,0,21774218,98
osm_cellids_200M_uint64,linear_regression,1024,195312,835933,5706,0,11735237,265
osm_cellids_200M_uint64,linear_regression,2048,97656.2,454537,1247,0,7719184,665
osm_cellids_200M_uint64,linear_regression,4096,48828.1,251469,156,0,7349127,1588
osm_cellids_200M_uint64,linear_regression,8192,24414.1,137958,10,0,4859889,3632
osm_cellids_200M_uint64,linear_regression,16384,12207,76401.9,1,0,3980064,8108
osm_cellids_200M_uint64,linear_regression,32768,6103.52,43113.4,0,0,3979602,17544
osm_cellids_200M_uint64,linear_regression,65536,3051.76,25249,0,0,3979522,37412
osm_cellids_200M_uint64,linear_regression,131072,1525.88,15290.1,0,0,3979458,79109
osm_cellids_200M_uint64,linear_regression,262144,762.939,9637.72,0,0,3979456,166403
osm_cellids_200M_uint64,linear_regression,524288,381.47,6314.03,0,0,3979419,350183
osm_cellids_200M_uint64,linear_regression,1048576,190.735,4249.7,0,0,3979417,736590
osm_cellids_200M_uint64,linear_regression,2097152,95.3674,2912.96,0,0,3979417,1547983
osm_cellids_200M_uint64,linear_regression,4194304,47.6837,2021.75,0,0,3979417,3241689
osm_cellids_200M_uint64,linear_regression,8388608,23.8419,1413.65,0,0,3979417,6761820
osm_cellids_200M_uint64,linear_regression,16777216,11.9209,993.101,0,0,3979417,14033140
osm_cellids_200M_uint64,linear_regression,33554432,5.96046,699.58,0,0,3979417,28994412
osm_cellids_200M_uint64,radix,64,3.125e+06,9.32419e+06,249111,0,70863194,16
osm_cellids_200M_uint64,radix,128,1.5625e+06,6.53256e+06,31254,0,69187717,35
osm_cellids_200M_uint64,radix,256,781250,3.93187e+06,4566,0,58161616,85
osm_cellids_200M_uint64,radix,512,390625,2.15992e+06,303,0,40186205,205
osm_cellids_200M_uint64,radix,1024,195312,1.09376e+06,7,0,21464613,460
osm_cellids_200M_uint64,radix,2048,97656.2,586745,0,0,10957074,1064
osm_cellids_200M_uint64,radix,4096,48828.1,317076,0,0,9135801,2332
osm_cellids_200M_uint64,radix,8192,24414.1,176930,0,0,7814976,5082
osm_cellids_200M_uint64,radix,16384,12207,92432.6,0,0,5415528,10781
osm_cellids_200M_uint64,radix,32768,6103.52,49338.2,0,0,3605270,22777
osm_cellids_200M_uint64,radix,65536,3051.76,25885.2,0,0,2011570,47211
osm_cellids_200M_uint64,radix,131072,1525.88,13879.6,0,0,1072638,97689
osm_cellids_200M_uint64,radix,262144,762.939,7318.96,0,0,744137,200075
osm_cellids_200M_uint64,radix,524288,381.47,3956.59,0,0,562611,411196
osm_cellids_200M_uint64,radix,1048576,190.735,2089.64,0,0,304858,841509
osm_cellids_200M_uint64,radix,2097152,95.3674,1130.12,0,0,186216,1731108
osm_cellids_200M_uint64,radix,4194304,47.6837,600.597,0,0,115693,3546834
osm_cellids_200M_uint64,radix,8388608,23.8419,325.357,0,0,98844,7288222
osm_cellids_200M_uint64,radix,16777216,11.9209,172.63,0,0,73618,14889187
osm_cellids_200M_uint64,radix,33554432,5.96046,92.9465,0,0,40590,30446392
wiki_ts_200M_uint64,linear_spline,64,3.125e+06,3.55433e+06,1202740,1169,9585914,0
wiki_ts_200M_uint64,linear_spline,128,1.5625e+06,1.77877e+06,536813,564,4864006,0
wiki_ts_200M_uint64,linear_spline,256,781250,889878,258498,185,2477056,0
wiki_ts_200M_uint64,linear_spline,512,390625,445281,131699,77,1251926,0
wiki_ts_200M_uint64,linear_spline,1024,195312,223040,63385,25,662732,0
wiki_ts_200M_uint64,linear_spline,2048,97656.2,111871,31785,7,353232,0
wiki_ts_200M_uint64,linear_spline,4096,48828.1,56369.2,15867,0,196731,5
wiki_ts_200M_uint64,linear_spline,8192,24414.1,28956.2,7846,0,117636,40
wiki_ts_200M_uint64,linear_spline,16384,12207,14658.1,3899,0,71640,231
wiki_ts_200M_uint64,linear_spline,32768,6103.52,7364.4,1930,0,37263,900
wiki_ts_200M_uint64,linear_spline,65536,3051.76,3691.69,961,0,37213,2822
wiki_ts_200M_uint64,linear_spline,131072,1525.88,1850.33,481,0,37211,7966
wiki_ts_200M_uint64,linear_spline,262144,762.939,927.701,240,0,37191,20815
wiki_ts_200M_uint64,linear_spline,524288,381.47,464.579,120,0,21027,52953
wiki_ts_200M_uint64,linear_spline,1048576,190.735,233.389,60,0,21027,133301
wiki_ts_200M_uint64,linear_spline,2097152,95.3674,117.68,30,0,21027,334932
wiki_ts_200M_uint64,linear_spline,4194304,47.6837,59.7707,15,0,21027,848852
wiki_ts_200M_uint64,linear_spline,8388608,23.8419,30.7782,7,0,21026,2153552
wiki_ts_200M_uint64,linear_spline,16777216,11.9209,16.2435,4,0,21026,5345988
wiki_ts_200M_uint64,linear_spline,33554432,5.96046,8.91548,2,0,21026,12907826
wiki_ts_200M_uint64,cubic_spline,64,3.125e+06,2.9795e+06,1988781,16128,8585513,0
wiki_ts_200M_uint64,cubic_spline,128,1.5625e+06,1.49085e+06,985612,7456,4413449,0
wiki_ts_200M_uint64,cubic_spline,256,781250,746099,448927,2854,2256520,0
wiki_ts_200M_uint64,cubic_spline,512,390625,373529,234794,1059,1137682,0
wiki_ts_200M_uint64,cubic_spline,1024,195312,187138,114944,363,609824,0
wiki_ts_200M_uint64,cubic_spline,2048,97656.2,93757.9,56995,176,309248,0
wiki_ts_200M_uint64,cubic_spline,4096,48828.1,47776.3,27546,0,186461,6
wiki_ts_200M_uint64,cubic_spline,8192,24414.1,24566.4,13656,0,102637,19
wiki_ts_200M_uint64,cubic_spline,16384,12207,12424.3,6781,0,62902,67
wiki_ts_200M_uint64,cubic_spline,32768,6103.52,6240.7,3385,0,37331,184
wiki_ts_200M_uint64,cubic_spline,65536,3051.76,3129.12,1697,0,37252,478
wiki_ts_200M_uint64,cubic_spline,131072,1525.88,1569.08,846,0,37193,1339
wiki_ts_200M_uint64,cubic_spline,262144,762.939,787.343,423,0,37193,3780
wiki_ts_200M_uint64,cubic_spline,524288,381.47,396.084,211,0,37191,10866
wiki_ts_200M_uint64,cubic_spline,1048576,190.735,198.467,106,0,21027,31934
wiki_ts_200M_uint64,cubic_spline,2097152,95.3674,100.372,53,0,21027,97570
wiki_ts_200M_uint64,cubic_spline,4194304,47.6837,51.2666,26,0,21027,314968
wiki_ts_200M_uint64,cubic_spline,8388608,23.8419,26.6699,13,0,21027,1023144
wiki_ts_200M_uint64,cubic_spline,16777216,11.9209,14.3184,7,0,21027,3126228
wiki_ts_200M_uint64,cubic_spline,33554432,5.96046,8.06707,3,0,21026,8901588
wiki_ts_200M_uint64,linear_regression,64,3.125e+06,1.85979e+06,3727114,0,11153298,6
wiki_ts_200M_uint64,linear_regression,128,1.5625e+06,1.13964e+06,1837837,0,10815410,13
wiki_ts_200M_uint64,linear_regression,256,781250,737516,889659,0,10677931,27
wiki_ts_200M_uint64,linear_regression,512,390625,495834,447609,0,10634075,54
wiki_ts_200M_uint64,linear_regression,1024,195312,340429,219760,0,10587641,108
wiki_ts_200M_uint64,linear_regression,2048,97656.2,237085,107827,0,10566137,216
wiki_ts_200M_uint64,linear_regression,4096,48828.1,166434,49733,0,10552848,437
wiki_ts_200M_uint64,linear_regression,8192,24414.1,117141,23885,0,10548548,879
wiki_ts_200M_uint64,linear_regression,16384,12207,82613,11765,0,10546690,1766
wiki_ts_200M_uint64,linear_regression,32768,6103.52,58334.3,5858,0,10545542,3543
wiki_ts_200M_uint64,linear_regression,65536,3051.76,41218.9,2924,0,10544925,7114
wiki_ts_200M_uint64,linear_regression,131072,1525.88,29135.6,1462,0,10544623,14264
wiki_ts_200M_uint64,linear_regression,262144,762.939,20598.2,730,0,10544473,28573
wiki_ts_200M_uint64,linear_regression,524288,381.47,14563.8,365,0,10544403,57259
wiki_ts_200M_uint64,linear_regression,1048576,190.735,10297.7,182,0,10544356,114761
wiki_ts_200M_uint64,linear_regression,2097152,95.3674,7281.39,91,0,10544340,230010
wiki_ts_200M_uint64,linear_regression,4194304,47.6837,5148.66,45,0,10544336,461493
wiki_ts_200M_uint64,linear_regression,8388608,23.8419,3640.63,22,0,10544328,931069
wiki_ts_200M_uint64,linear_regression,16777216,11.9209,2574.31,11,0,10544324,1957415
wiki_ts_200M_uint64,linear_regression,33554432,5.96046,1820.31,5,0,10544323,4785365
wiki_ts_200M_uint64,radix,64,3.125e+06,1.31158e+07,0,0,78379407,56
wiki_ts_200M_uint64,radix,128,1.5625e+06,6.7098e+06,0,0,39214672,113
wiki_ts_200M_uint64,radix,256,781250,3.47084e+06,0,0,20774659,227
wiki_ts_200M_uint64,radix,512,390625,1.73772e+06,0,0,10841088,455
wiki_ts_200M_uint64,radix,1024,195312,869272,0,0,5500748,911
wiki_ts_200M_uint64,radix,2048,97656.2,434777,0,0,2838379,1822
wiki_ts_200M_uint64,radix,4096,48828.1,217506,0,0,1421112,3644
wiki_ts_200M_uint64,radix,8192,24414.1,108858,0,0,743049,7289
wiki_ts_200M_uint64,radix,16384,12207,54557.1,0,0,388481,14578
wiki_ts_200M_uint64,radix,32768,6103.52,27330.7,0,0,205882,29160
wiki_ts_200M_uint64,radix,65536,3051.76,13895.4,0,0,135106,58342
wiki_ts_200M_uint64,radix,131072,1525.88,7012.97,0,0,77093,116801
wiki_ts_200M_uint64,radix,262144,762.939,3519.05,0,0,41399,233970
wiki_ts_200M_uint64,radix,524288,381.47,1762.53,0,0,37243,468836
wiki_ts_200M_uint64,radix,1048576,190.735,882.527,0,0,37213,939677
wiki_ts_200M_uint64,radix,2097152,95.3674,442.03,0,0,37191,1883572
wiki_ts_200M_uint64,radix,4194304,47.6837,221.233,0,0,21027,3776915
wiki_ts_200M_uint64,radix,8388608,23.8419,110.913,0,0,21027,7577147
wiki_ts_200M_uint64,radix,16777216,11.9209,55.7189,0,0,21027,15212043
wiki_ts_200M_uint64,radix,33554432,5.96046,28.1066,0,0,21027,30574299
